XP1,XP2,XP3,XP4,XP5
19071.47,12225.08,7372.78,3814.29,3867.19
18340.18,12275.32,7382.01,3668.04,3852.56
18340.99,12674.23,7459.02,3668.2,3883.87
18058.92,12440.6,7413.02,3611.78,3876.1
17909.2,12575.66,7441.02,3581.84,3888.7
17417.92,12449.98,7414.9,3483.58,3960.29
18189.14,13015.35,7536.46,3637.83,3857.89
18038.4,12939.29,7520.03,3607.68,3898.71
17376.9,12908.65,7513.13,3475.38,3861.54
17453.49,13122.92,7563.85,3490.7,3948.46
17584.73,13250.95,7594.36,3516.95,3940.68
17106.36,12958.55,7524.45,3421.27,3852.81
15816.13,12889.47,7507.24,3163.23,3906.24
15537.97,12979.05,7530.11,3107.59,3902.82
15784.97,12613.49,7435.49,3156.99,3953.04
15760.73,12458.6,7394.33,3152.15,3883.31
15725.8,12396.03,7377.32,3145.16,3860.27
15939.11,12176.85,7314.99,3187.82,3857.71
15485.02,11980.12,7257.35,3097,3840.27
15905.01,12070.64,7284.59,3181,3824.34
15903.01,12004.27,7264.4,3180.6,3842.66
16123.49,11952.97,7248.59,3224.7,3796.95
16449.73,12170.24,7315.43,3289.95,3795.74
16540.31,12218.15,7329.72,3308.06,3750.62
16237.06,12422.35,7388.18,3247.41,3774.55
16589.92,12598.29,7436.35,3317.98,3732.34
16050.78,12739.9,7473.79,3210.16,3789.45
15913.7,12668.34,7454.75,3182.74,3792.58
15840.29,12765.71,7481.36,3168.06,3799.99
15793.74,12848.73,7504.16,3158.75,3825.53
16070.67,13332.7,7632.79,3214.13,3855.63
16103.67,13230.14,7606.39,3220.73,3877.58
16203.61,13495.7,7673.81,3240.72,3815.67
16184.45,13526.75,7681.5,3236.89,3777.4
16099.3,13333.01,7633.34,3219.86,3664.79
16367.19,13772.85,7746.7,3273.44,3670.11
16771,13896.68,7778.68,3354.2,3722.8
15956.99,13440.26,7660.78,3191.4,3673.99
16151.16,13309.48,7625.6,3230.23,3692.1
16278,13304.07,7624.1,3255.6,3713.98
16130.65,12830.01,7493.56,3226.13,3714.53
16413.39,13294.16,7624.81,3282.68,3671.53
16301.18,13493.28,7682.82,3260.24,3657.43
16227.22,13377.49,7647.94,3245.44,3695.79
16429.89,13278.18,7617.3,3285.98,3719.17
16815.29,13354.54,7640.87,3363.06,3735.92
16875.28,13132.87,7571.55,3375.06,3813.48
16780.17,13017.38,7534.7,3356.03,3804.33
16493.34,13029.59,7538.64,3298.67,3810.66
16418.24,13049.66,7545.04,3283.65,3832.26
16221.66,13281.22,7617.86,3244.33,3829.4
16157.94,13361.71,7642.73,3231.59,3859.71
16265.15,13333.51,7634.1,3253.03,3877.37
16015.47,13260.28,7611.74,3203.09,3869.23
16917.68,13522.2,7690.45,3383.54,3863.69
16967.93,13388.41,7650.85,3393.59,3780.44
17412.88,13498.75,7682.94,3482.58,3761.42
16385.08,13551.58,7697.99,3277.02,3762.55
16700.77,13584.04,7706.87,3340.15,3801.14
16106.09,13722.72,7742.26,3221.22,3779.2
16499.46,13586.52,7709.95,3299.89,3734.19
16667.91,13586.13,7709.86,3333.58,3727.76
16522.38,13562.33,7704.98,3304.48,3727.5
17020.72,13201.23,7638.25,3404.14,3686.03
16689.32,13286.37,7653.48,3337.86,3636.67
16366.28,13565.19,7701.86,3273.26,3616.56
15829.93,13319.25,7661.21,3165.99,3645.61
15498.94,13651.91,7716.71,3099.79,3613
15951.06,13697.4,7724.13,3190.21,3620.77
16183.11,14022.13,7777.52,3236.62,3623.46
16793.52,13806.12,7741.9,3358.7,3636.24
16547.75,13977.55,7771.3,3309.55,3648.57
16798.41,13849.42,7748.86,3359.68,3700.4
16955.85,13711.33,7724.45,3391.17,3706.27
16020.55,13780.27,7736.58,3204.11,3689.67
17209.39,14073.01,7786.39,3441.88,3691.54
17342.02,14142.77,7798.19,3468.4,3658.66
18053.25,14030.14,7779.14,3610.65,3647.81
18867.81,14310.44,7827.02,3773.56,3626.71
18823.1,14241.1,7815.27,3764.62,3623.32
18577.26,14415.5,7845.1,3715.45,3597.16
19297.68,14135.56,7797.86,3859.54,3511.26
18433.1,14314.08,7828.37,3686.62,3562.78
20123.71,14120.99,7795.25,4024.74,3618.05
19813.9,14014.84,7776.59,3962.78,3636.33
20929.08,13601.08,7700.03,4185.82,3607.39
22143.89,14598.56,7900.46,4428.78,3617.75
22213.04,14266.01,7832.98,4442.61,3602.02
22627.95,14315.59,7843.55,4525.59,3607.36
21965.55,14336.81,7848.18,4393.11,3596.94
22152.17,14114.13,7799.67,4430.43,3611.2
22782.36,14180.75,7814.65,4556.47,3594.82
22839.28,14335.63,7850.34,4567.86,3635.99
22546.45,14525.41,7894.23,4509.29,3654.54
22130.07,13983.1,7767.54,4426.01,3551.21
22107.84,13766.95,7715.36,4421.57,3530.08
22750.51,13730.6,7706.37,4550.1,3541.59
22467.09,13715.38,7702.6,4493.42,3520.65
22399.79,13584.67,7669.74,4479.96,3476.12
21610.43,13716.32,7704.14,4322.09,3502.2
21858.56,13724.11,7706.23,4371.71,3528.62
22586.28,13554.76,7660.81,4517.26,3534.09
23399.46,13752.84,7712.7,4679.89,3570.89
23883.66,13679.2,7693.53,4776.73,3547.49
22780.11,13698.84,7698.66,4556.02,3510.46
23012.54,14210.27,7831.13,4602.51,3502.81
23239.72,14257.77,7843.43,4647.94,3531.71
23075.22,14014.17,7779.6,4615.04,3481.96
23162.54,13939.89,7759.55,4632.51,3433.56
22759.65,13983.88,7771.82,4551.93,3418.16
23017.32,13696.91,7688.99,4603.46,3459.26
22902.16,13239.46,7551.85,4580.43,3508.38
22381.12,13152.38,7524.91,4476.22,3563.76
22270.62,13249.47,7554.29,4454.12,3599.8
22673.41,13066.1,7500.47,4534.68,3563.49
22577.71,13190.79,7536.92,4515.54,3550.51
22780.89,13523.69,7631.36,4556.18,3595.6
23058.61,13568.69,7644.07,4611.72,3599.83
23059.79,13996.39,7766.35,4611.96,3583.39
22956.24,14063.6,7785.84,4591.25,3531.53
22799.3,13935.84,7748.3,4559.86,3519.63
23018.77,13902.43,7738.45,4603.75,3535.64
22755.76,14451.71,7899.13,4551.15,3542.61
