"YYYYMM","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
200912,-1.02,0.0572,0.2589,0.4256,0.6837,0.8496,0.8422,0.1066,0.2263,0.3593,0.579,0.9275,1.2235
201001,-1.1044,0.0532,0.302,0.514,0.78,0.9302,0.9228,0.1046,0.2115,0.3391,0.5557,0.9045,1.203
201002,-1.1703,0.0522,0.3309,0.5264,0.8107,0.961,0.9623,0.1034,0.2011,0.3246,0.5386,0.8877,1.1882
201003,-1.2404,0.0461,0.3269,0.525,0.8248,0.9838,0.9827,0.1024,0.1906,0.3092,0.5196,0.8681,1.1701
201004,-1.3087,0.0587,0.3407,0.5522,0.8571,0.9802,0.9607,0.1017,0.1809,0.2944,0.5008,0.8479,1.151
201005,-1.4179,0.059,0.2985,0.4763,0.8233,0.9506,0.94,0.101,0.1666,0.2709,0.4693,0.8122,1.1157
201006,-1.5432,0.0498,0.2475,0.4267,0.7718,0.9024,0.8933,0.1005,0.1526,0.2464,0.4347,0.7714,1.0746
201007,-1.667,0.0425,0.2156,0.3746,0.7041,0.8266,0.7801,0.1002,0.1411,0.2247,0.4025,0.7321,1.0344
201008,-1.7733,0.0298,0.1749,0.3227,0.6252,0.7058,0.6377,0.1001,0.133,0.2083,0.3768,0.6998,1.0009
201009,-1.7984,0.0325,0.1853,0.3584,0.6898,0.8317,0.8093,0.1001,0.1316,0.2052,0.3722,0.6945,0.9959
201010,-1.8237,0.0268,0.1313,0.2319,0.5319,0.7471,0.7594,0.1001,0.13,0.202,0.3672,0.6884,0.9898
201011,-1.7194,0.0538,0.2418,0.3936,0.6593,0.8571,0.8611,0.1002,0.1378,0.2186,0.3941,0.7236,1.0273
201012,-1.609,0.102,0.333,0.5333,0.7661,0.9389,0.9271,0.1003,0.1477,0.2382,0.4245,0.762,1.0675
201101,-1.5603,0.0853,0.335,0.5321,0.775,0.9251,0.9077,0.1005,0.1527,0.2478,0.4387,0.7798,1.0861
201102,-1.506,0.1233,0.4172,0.6163,0.8349,0.9726,0.9231,0.1006,0.1588,0.259,0.4552,0.8,1.107
201103,-1.5325,0.1151,0.3631,0.5435,0.8003,0.959,0.9476,0.1006,0.156,0.254,0.4483,0.7919,1.099
201104,-1.5681,0.1005,0.3677,0.5755,0.8341,0.9849,0.9721,0.1005,0.1525,0.2476,0.4392,0.7813,1.0884
201105,-1.6646,0.08,0.2982,0.4724,0.7408,0.8997,0.8816,0.1003,0.1434,0.2304,0.4135,0.75,1.0565
201106,-1.7376,0.0653,0.2815,0.4579,0.7346,0.9008,0.8714,0.1002,0.1375,0.2186,0.3956,0.7279,1.0338
201107,-1.8013,0.057,0.2721,0.4558,0.7419,0.9122,0.8719,0.1001,0.1329,0.2092,0.3809,0.7095,1.0149
201108,-1.8844,0.0398,0.2187,0.3843,0.6837,0.8681,0.8391,0.1001,0.1276,0.1976,0.362,0.6852,0.9895
201109,-1.9382,0.0343,0.2247,0.371,0.6565,0.8256,0.7865,0.1,0.1246,0.1908,0.3505,0.6703,0.974
201110,-1.9646,0.0407,0.2472,0.3971,0.6692,0.8252,0.777,0.1,0.1234,0.1878,0.3456,0.6641,0.9677
201111,-1.9943,0.0325,0.2336,0.3859,0.6637,0.8321,0.7868,0.1,0.122,0.1845,0.3402,0.6572,0.9607
201112,-2.0201,0.0299,0.2366,0.4033,0.6724,0.841,0.798,0.1,0.1209,0.1819,0.3358,0.6517,0.9552
201201,-2.0559,0.0272,0.2265,0.381,0.6531,0.8358,0.7968,0.1,0.1194,0.1782,0.3294,0.6433,0.9466
201202,-2.0908,0.0152,0.2137,0.3859,0.6585,0.8483,0.8083,0.1,0.118,0.1748,0.3234,0.6355,0.9386
201203,-2.1267,0.0109,0.208,0.4184,0.684,0.8735,0.8434,0.1,0.1167,0.1713,0.3173,0.6275,0.9303
201204,-2.1915,0.0112,0.1886,0.3862,0.6552,0.854,0.8286,0.1,0.1144,0.165,0.3055,0.6111,0.9128
