XP1,XP2,XP3
9430.05,6608.81,5503.69
9602.38,6591.37,5616.62
9077.06,6511.71,5316.26
8963.89,6490.36,5225.72
8727.22,6348.83,5095.45
8600.34,6325.38,5009.45
8671.02,6435,5036.83
8766.47,6444.66,5136.04
8864.99,6516.09,5176.12
8644.95,6547.98,5015.68
8499.63,6501.34,4890.47
8553.53,6600.25,4931.15
8385.32,6595.13,4802.04
8459.26,6538.05,4820.84
8610.95,6542.09,4914.52
8419.5,6462.93,4810.39
8357.2,6511.73,4757.11
8341.42,6539.44,4739.71
8459.38,6521.01,4849.01
8530.58,6497.3,4927.85
8450.53,6540.64,4877.32
8397.25,6490.44,4842.85
8328.36,6442.92,4859.92
8489.72,6463.52,4969.75
8672.24,6442.63,5053.72
8797.68,6483.69,5099.87
9050.76,6474.65,5244.43
9006.8,6526.44,5248.44
9122.21,6549.53,5336.26
9094.87,6448.12,5314.5
9210.47,6371.47,5340.87
9410.23,6447.56,5475.97
9987.63,6490.3,5864.14
10145.89,6433.8,5923.21
10231.57,6357.28,5962.83
9975.42,6418.18,5789.42
10094.89,6370.46,5850.49
10062.89,6471.18,5844.14
9779.67,6586.62,5690.06
10235.18,6477.92,5948.27
9784.76,6412.88,5726.34
9868.44,6323.66,5786.4
9360.35,6370.96,5477.89
9549.74,6286.15,5602.16
9448.44,6151.34,5543.1
9432.88,6307,5544.14
9070.52,6400.19,5332.96
9097.42,6472.99,5356.12
9063.17,6417.77,5341.33
9438.87,6416.93,5574.08
9809.95,6457.78,5749.34
9791.27,6379.31,5700.09
9705.88,6371.58,5635.76
9701.08,6381.39,5653.06
9368.09,6467.88,5441.02
9304.05,6505.59,5427.76
9418.24,6576.77,5496.71
9639.72,6584.98,5662.98
9430.05,6525.7,5528.62
8969.46,6507.42,5214.52
9348.99,6424.37,5428.62
9084.94,6476.25,5253.3
8972.22,6554.47,5186.61
8439.99,6550.73,4862.21
8452.23,6497.75,4897.94
8397.47,6555.75,4853.93
8318.96,6563.34,4814.1
8412.2,6543.93,4856.36
8173.67,6597.12,4703.59
7827.85,6559.43,4501.28
8185.15,6615.05,4718.53
8279.07,6572.27,4762.34
8494.1,6591.78,4897.58
8616.65,6633.98,4948.45
8476.9,6569.95,4885.31
8320.52,6590.31,4728.78
8262.89,6584.91,4683.46
8319.14,6615.67,4742.57
8369.1,6580.01,4778.67
8428.25,6576.08,4802.29
8656.35,6635.69,4918.13
8594.23,6643.78,4908.96
8084.59,6681.24,4569.46
8218.06,6671.06,4663.52
8208.61,6625.68,4641.96
8347.1,6625.18,4689.57
8598.76,6571.8,4810.84
8351.41,6451.13,4677.86
8356.41,6524.87,4685.27
8384.52,6455.2,4726.1
8266.72,6340.51,4648.64
7978.33,6410.67,4500.88
7949.16,6409.86,4469.91
7756.06,6373.31,4377.18
7913.73,6363.28,4477.3
7663.1,6341.41,4349.63
7551.95,6389.27,4294.96
7439.15,6424.88,4209.28
7322.4,6342.06,4125.72
7497.74,6361.34,4260.78
7631.11,6398.08,4352.54
7766.72,6430.97,4382.69
8076.59,6314.92,4548.24
8201.89,6300.24,4617.12
8421.29,6411.2,4746.06
8616.16,6465.25,4859.47
8550.01,6355.28,4815.38
8543.84,6238.16,4812.41
8526.66,6275.29,4782.1
8506.07,6263.42,4737.88
8294.57,6321.54,4631.2
8486.5,6338.98,4705.81
