P1,P2
11233.98,8441.54
11442.9,8454.2
11041.77,8278.42
10649.42,8160.74
10364.11,8123.44
10281.26,8142.13
10129.31,7974.88
9741.04,8061.35
10330.18,8008.73
10079.33,7949.03
10001.93,7833.73
10342.39,7718.46
10037.04,7723.11
9682.94,7760.42
9414.88,7618.04
9566.42,7536.34
9467.5,7578.12
9461.14,7545.63
9432.96,7687.55
9513.66,7790.65
9727.43,7841.06
9717.42,7841.44
9335.33,7860.95
9173.46,7815.73
9130.82,7854.2
9442.85,7941.71
9377,8012.81
9335.67,7958.36
9231.74,7853.85
9218.31,7846.06
8885.2,7874.48
9315.9,7956.34
9345.73,7870.04
9451.05,7894.88
9842.49,7909.63
9775.01,7979.87
9760.51,7978.14
9754.77,7957.5
10333.7,7894.49
10304.89,7864.81
10352.12,7844.86
10277.03,7968.99
10505.47,8142.57
10893.11,8126.71
10434.38,8039.29
10483.58,7879.32
10053.42,7927.4
10334.96,7835.09
10697.2,8022.96
10686.11,7929.41
10563.47,7940.26
10934.61,8266.8
10594.26,8096.47
10346.02,8140.69
10778.99,8002.5
11057.95,8043.56
10913.23,7952.94
10849.98,7960.35
10674.65,7935.34
10476.5,7846.32
10758.3,7847.16
10535.3,7914.22
9976.37,8021.96
9717.2,7918.16
9561.35,7898.66
9235.05,7980.08
8757.67,7899.92
8652.59,7719.03
9191.58,7631.72
9606.36,7547.1
9783.64,7551.03
9444.01,7521.42
9157.26,7536.83
9085.4,7511.07
9394.75,7532.39
9560.03,7512.61
8915.84,7573.96
9179.73,7533.32
9439,7549.02
9422.81,7503.4
9212.09,7514.23
8670.51,7511.85
8753.5,7431.01
8102.67,7423
8318.07,7484.53
8361.41,7522.3
8172.37,7530.08
8015.17,7468.72
8105.49,7532.09
8114.02,7536.62
8435.55,7512.44
8451,7596.86
8412.13,7550.93
8258.44,7568.48
7942.48,7638.36
7775.24,7673.73
7736.61,7656.32
7635.98,7633.9
7507.49,7652.2
7847.18,7677.89
8206.27,7678.82
8383.51,7742.16
8367.29,7738.64
8183.92,7702.96
7936.2,7730.27
7867.23,7619.49
7541.46,7644.56
7535.41,7674.22
7873.91,7661.43
7641.24,7601.6
7642.2,7579.67
7632.24,7661.56
7483.09,7616.88
7455.77,7481.42
7487.42,7541.63
7743.24,7506.08
7965.29,7472.82
7884.34,7399.25
7862.55,7397.85
8376.68,7437.81
8184.87,7405.14
8365.82,7372.73
8371.27,7429.5
7981.75,7416.06
7772.94,7407.85
7634.42,7377.21
7587.49,7420.85
7902.11,7371.11
8009.1,7414.73
8423.91,7456.65
8911.8,7432.18
8757.63,7474.99
8651.02,7525.69
8421.1,7556.32
8317.35,7661.73
8466.85,7533.78
8487.31,7444.92
8568.28,7341.1
8456.83,7354.07
8540.87,7463.5
8421.44,7591.78
8553.28,7633.68
8917.25,7702.09
9025.94,7691.22
9330.34,7722.81
9183.89,7746.46
9261.95,7701.65
8728.4,7684.83
9324.03,7677.54
9614.95,7749.17
9803.47,7689.89
9706.4,7567.27
9775.23,7621.8
10383.22,7566.38
10602.57,7538.1
10589.92,7592.46
10357.41,7546.74
9967.05,7526.96
10008.62,7608.78
9895.34,7641.03
9906.81,7672.52
9947.86,7664.89
9977.36,7605.01
10143.13,7522.76
10110.47,7509.31
10260.63,7621.13
10271.86,7636.44
10288.56,7646.79
10665.42,7666.14
10535.55,7644.95
10579.17,7571.5
10659.45,7724.28
10864.62,7689.82
10615.67,7667.96
10847.82,7549.23
10758.74,7530.67
11149.02,7514.05
11255.68,7498.4
11390.34,7397.06
11564.8,7513.23
11552.91,7646.52
11192.38,7706.19
11348.46,7617.72
10823.01,7673.73
11071.95,7655.57
10870.1,7634.31
10810.64,7717.5
10890.52,7636.77
11147.89,7602.46
11128.38,7556.94
11125.33,7558.12
11381.2,7471.05
11447.51,7427.9
11189.64,7469.85
10986.4,7496.39
11279.19,7443.37
11491.72,7474.08
11740.52,7344.69
11404.38,7320.91
10982.87,7366.08
10977.13,7326.02
10673.09,7323.91
10532.45,7238.57
10272.61,7289.1
10276.23,7180.55
9895.23,7158.67
9612.24,7143.01
9798.2,7146.44
10253,7103.39
10142.37,7197.93
10318.27,7109.63
10094.38,7126.2
10063.57,6951.32
9885.59,6951.53
9774.28,6989.42
9761.59,6915.71
10185.92,6962.68
10333.55,6983.54
10356.26,7040.04
10598.27,6991.12
10864.3,6936.51
10699.34,6837.83
10684.52,6817.44
10472.69,6740.43
10518.69,6781.65
10414.48,6785.72
9989.87,6900.5
9948.84,6822.76
9776.95,6901.48
9776.17,6865.69
9758.5,6775.29
9715.86,6812.77
9360.82,6725.51
9161.02,6658
9002.49,6612.09
8979.54,6624.49
8885.02,6570.79
8715.46,6628.31
8413.97,6562.94
8516.4,6575
8442.05,6582.34
8171.03,6531.36
8373.43,6510.42
8446.22,6480
8255.52,6523.42
8462.57,6595.82
8336.15,6540.86
8335.17,6590.04
8309.92,6586.05
8546.52,6489.99
8182.42,6446
8419.7,6471.43
8298.63,6478.92
8365.9,6361.9
8648.77,6398.3
8733.35,6436.48
8578.06,6419.68
8850.5,6383.8
8810.78,6479.96
9013.9,6474.59
9211.22,6473.83
9199.79,6418.12
8892.72,6350.09
9116.7,6268.95
9609.28,6244.74
9787.67,6316.29
9486.58,6414.93
9362.01,6516.58
9430.05,6608.81
9602.38,6591.37
9077.06,6511.71
8963.89,6490.36
8727.22,6348.83
8600.34,6325.38
8671.02,6435
8766.47,6444.66
8864.99,6516.09
8644.95,6547.98
8499.63,6501.34
8553.53,6600.25
8385.32,6595.13
8459.26,6538.05
8610.95,6542.09
8419.5,6462.93
8357.2,6511.73
8341.42,6539.44
8459.38,6521.01
8530.58,6497.3
8450.53,6540.64
8397.25,6490.44
8328.36,6442.92
8489.72,6463.52
8672.24,6442.63
8797.68,6483.69
9050.76,6474.65
9006.8,6526.44
9122.21,6549.53
9094.87,6448.12
9210.47,6371.47
9410.23,6447.56
9987.63,6490.3
10145.89,6433.8
10231.57,6357.28
9975.42,6418.18
10094.89,6370.46
10062.89,6471.18
9779.67,6586.62
10235.18,6477.92
9784.76,6412.88
9868.44,6323.66
9360.35,6370.96
9549.74,6286.15
9448.44,6151.34
9432.88,6307
9070.52,6400.19
9097.42,6472.99
9063.17,6417.77
9438.87,6416.93
9809.95,6457.78
9791.27,6379.31
9705.88,6371.58
9701.08,6381.39
9368.09,6467.88
9304.05,6505.59
9418.24,6576.77
9639.72,6584.98
9430.05,6525.7
8969.46,6507.42
9348.99,6424.37
9084.94,6476.25
8972.22,6554.47
8439.99,6550.73
8452.23,6497.75
8397.47,6555.75
8318.96,6563.34
8412.2,6543.93
8173.67,6597.12
7827.85,6559.43
8185.15,6615.05
8279.07,6572.27
8494.1,6591.78
8616.65,6633.98
8476.9,6569.95
8320.52,6590.31
8262.89,6584.91
8319.14,6615.67
8369.1,6580.01
8428.25,6576.08
8656.35,6635.69
8594.23,6643.78
8084.59,6681.24
8218.06,6671.06
8208.61,6625.68
8347.1,6625.18
8598.76,6571.8
8351.41,6451.13
8356.41,6524.87
8384.52,6455.2
8266.72,6340.51
7978.33,6410.67
7949.16,6409.86
7756.06,6373.31
7913.73,6363.28
7663.1,6341.41
7551.95,6389.27
7439.15,6424.88
7322.4,6342.06
7497.74,6361.34
7631.11,6398.08
7766.72,6430.97
8076.59,6314.92
